Время,Координата,Плотность,Сера
0,0,805,0.15
0,22.2222,805,0.15
0,44.4444,805,0.15
0,66.6667,805,0.15
0,88.8889,805,0.15
0,111.111,805,0.15
0,133.333,805,0.15
0,155.556,805,0.15
0,177.778,805,0.15
0,200,805,0.15
8.96711,0,880,0.2
8.96711,22.2222,805,0.15
8.96711,44.4444,805,0.15
8.96711,66.6667,805,0.15
8.96711,88.8889,805,0.15
8.96711,111.111,805,0.15
8.96711,133.333,805,0.15
8.96711,155.556,805,0.15
8.96711,177.778,805,0.15
8.96711,200,805,0.15
17.674,0,870,0.1
17.674,22.2222,880,0.2
17.674,44.4444,805,0.15
17.674,66.6667,805,0.15
17.674,88.8889,805,0.15
17.674,111.111,805,0.15
17.674,133.333,805,0.15
17.674,155.556,805,0.15
17.674,177.778,805,0.15
17.674,200,805,0.15
26.3882,0,870,0.1
26.3882,22.2222,870,0.1
26.3882,44.4444,880,0.2
26.3882,66.6667,805,0.15
26.3882,88.8889,805,0.15
26.3882,111.111,805,0.15
26.3882,133.333,805,0.15
26.3882,155.556,805,0.15
26.3882,177.778,805,0.15
26.3882,200,805,0.15
35.1022,0,870,0.1
35.1022,22.2222,870,0.1
35.1022,44.4444,870,0.1
35.1022,66.6667,880,0.2
35.1022,88.8889,805,0.15
35.1022,111.111,805,0.15
35.1022,133.333,805,0.15
35.1022,155.556,805,0.15
35.1022,177.778,805,0.15
35.1022,200,805,0.15
43.8162,0,880,0.25
43.8162,22.2222,870,0.1
43.8162,44.4444,870,0.1
43.8162,66.6667,870,0.1
43.8162,88.8889,880,0.2
43.8162,111.111,805,0.15
43.8162,133.333,805,0.15
43.8162,155.556,805,0.15
43.8162,177.778,805,0.15
43.8162,200,805,0.15
52.5302,0,880,0.25
52.5302,22.2222,880,0.25
52.5302,44.4444,870,0.1
52.5302,66.6667,870,0.1
52.5302,88.8889,870,0.1
52.5302,111.111,880,0.2
52.5302,133.333,805,0.15
52.5302,155.556,805,0.15
52.5302,177.778,805,0.15
52.5302,200,805,0.15
61.2442,0,880,0.25
61.2442,22.2222,880,0.25
61.2442,44.4444,880,0.25
61.2442,66.6667,870,0.1
61.2442,88.8889,870,0.1
61.2442,111.111,870,0.1
61.2442,133.333,880,0.2
61.2442,155.556,805,0.15
61.2442,177.778,805,0.15
61.2442,200,805,0.15
66.2882,0,880,0.25
66.2882,22.2222,880,0.25
66.2882,44.4444,880,0.25
66.2882,66.6667,880,0.25
66.2882,88.8889,870,0.1
66.2882,111.111,870,0.1
66.2882,133.333,870,0.1
66.2882,155.556,880,0.2
66.2882,177.778,805,0.15
66.2882,200,805,0.15
71.3322,0,0,0
71.3322,22.2222,880,0.25
71.3322,44.4444,880,0.25
71.3322,66.6667,880,0.25
71.3322,88.8889,880,0.25
71.3322,111.111,870,0.1
71.3322,133.333,870,0.1
71.3322,155.556,870,0.1
71.3322,177.778,880,0.2
71.3322,200,805,0.15
76.3762,0,0,0
76.3762,22.2222,0,0
76.3762,44.4444,880,0.25
76.3762,66.6667,880,0.25
76.3762,88.8889,880,0.25
76.3762,111.111,880,0.25
76.3762,133.333,870,0.1
76.3762,155.556,870,0.1
76.3762,177.778,870,0.1
76.3762,200,880,0.2
81.4202,0,0,0
81.4202,22.2222,0,0
81.4202,44.4444,0,0
81.4202,66.6667,880,0.25
81.4202,88.8889,880,0.25
81.4202,111.111,880,0.25
81.4202,133.333,880,0.25
81.4202,155.556,870,0.1
81.4202,177.778,870,0.1
81.4202,200,870,0.1
86.4642,0,0,0
86.4642,22.2222,0,0
86.4642,44.4444,0,0
86.4642,66.6667,0,0
86.4642,88.8889,880,0.25
86.4642,111.111,880,0.25
86.4642,133.333,880,0.25
86.4642,155.556,880,0.25
86.4642,177.778,870,0.1
86.4642,200,870,0.1
91.5082,0,0,0
91.5082,22.2222,0,0
91.5082,44.4444,0,0
91.5082,66.6667,0,0
91.5082,88.8889,0,0
91.5082,111.111,880,0.25
91.5082,133.333,880,0.25
91.5082,155.556,880,0.25
91.5082,177.778,880,0.25
91.5082,200,870,0.1
96.5522,0,0,0
96.5522,22.2222,0,0
96.5522,44.4444,0,0
96.5522,66.6667,0,0
96.5522,88.8889,0,0
96.5522,111.111,0,0
96.5522,133.333,880,0.25
96.5522,155.556,880,0.25
96.5522,177.778,880,0.25
96.5522,200,880,0.25
101.596,0,0,0
101.596,22.2222,0,0
101.596,44.4444,0,0
101.596,66.6667,0,0
101.596,88.8889,0,0
101.596,111.111,0,0
101.596,133.333,0,0
101.596,155.556,880,0.25
101.596,177.778,880,0.25
101.596,200,880,0.25
106.64,0,0,0
106.64,22.2222,0,0
106.64,44.4444,0,0
106.64,66.6667,0,0
106.64,88.8889,0,0
106.64,111.111,0,0
106.64,133.333,0,0
106.64,155.556,0,0
106.64,177.778,880,0.25
106.64,200,880,0.25
111.684,0,0,0
111.684,22.2222,0,0
111.684,44.4444,0,0
111.684,66.6667,0,0
111.684,88.8889,0,0
111.684,111.111,0,0
111.684,133.333,0,0
111.684,155.556,0,0
111.684,177.778,0,0
111.684,200,880,0.25
116.728,0,0,0
116.728,22.2222,0,0
116.728,44.4444,0,0
116.728,66.6667,0,0
116.728,88.8889,0,0
