Содержание серы,Текущее время моделирования
200,0:15:0
200,0:15:10
200,0:15:21
200,0:15:32
200,0:15:43
200,0:15:54
200,0:16:5
200,0:16:16
200,0:16:27
200,0:16:38
200,0:16:49
200,0:17:0
200,0:17:10
200,0:17:21
200,0:17:32
200,0:17:43
201,0:17:54
201.183,0:18:5
201.365,0:18:16
201.547,0:18:26
201.729,0:18:37
202.093,0:18:48
202.274,0:18:59
202.456,0:19:10
202.638,0:19:20
202.819,0:19:31
203.001,0:19:42
203.183,0:19:53
203.364,0:20:3
203.364,0:20:14
203.545,0:20:25
203.726,0:20:36
203.907,0:20:46
204.088,0:20:57
204.268,0:21:8
204.448,0:21:19
204.628,0:21:30
204.808,0:21:41
204.988,0:21:52
205.167,0:22:2
205.346,0:22:13
205.526,0:22:24
205.705,0:22:35
205.884,0:22:46
206.064,0:22:57
206.243,0:23:7
206.423,0:23:18
206.603,0:23:29
206.783,0:23:40
206.963,0:23:51
207.144,0:24:2
207.325,0:24:13
207.505,0:24:23
207.686,0:24:34
207.867,0:24:45
208.048,0:24:56
208.228,0:25:7
208.409,0:25:18
208.59,0:25:29
208.771,0:25:39
208.952,0:25:50
209.133,0:26:1
209.314,0:26:12
209.495,0:26:23
209.676,0:26:34
209.857,0:26:45
210.038,0:26:55
210.219,0:27:6
210.4,0:27:17
210.581,0:27:28
210.762,0:27:39
210.943,0:27:50
211.124,0:28:1
211.304,0:28:12
211.485,0:28:22
211.666,0:28:33
211.847,0:28:44
212.028,0:28:55
212.209,0:29:6
212.39,0:29:17
212.39,0:29:28
212.571,0:29:39
212.752,0:29:49
212.933,0:30:0
212.933,0:30:12
213.114,0:30:23
213.114,0:30:34
213.295,0:30:45
213.295,0:30:56
213.476,0:31:8
213.657,0:31:19
213.657,0:31:31
213.838,0:31:42
214.019,0:31:54
214.2,0:32:5
214.2,0:32:17
214.381,0:32:28
214.562,0:32:40
214.743,0:32:52
214.924,0:33:3
215.105,0:33:15
215.286,0:33:27
215.468,0:33:38
215.833,0:33:50
216.017,0:34:2
216.201,0:34:13
216.386,0:34:25
216.572,0:34:36
216.759,0:34:48
216.948,0:35:0
217.138,0:35:11
217.519,0:35:22
217.711,0:35:34
217.903,0:35:45
218.096,0:35:57
218.483,0:36:8
218.677,0:36:19
218.871,0:36:31
219.066,0:36:42
219.261,0:36:53
219.455,0:37:4
219.65,0:37:16
219.843,0:37:27
220,0:37:38
220,0:37:49
220,0:38:0
220,0:38:11
220,0:38:23
220,0:38:34
220,0:38:45
220,0:38:56
220,0:39:7
220,0:39:18
220,0:39:30
220,0:39:41
220,0:39:52
220,0:40:3
220,0:40:15
220,0:40:26
220,0:40:37
220,0:40:49
220,0:41:0
220,0:41:12
220,0:41:23
220,0:41:35
220,0:41:47
220,0:41:59
220,0:42:11
220,0:42:23
220,0:42:35
220,0:42:48
220,0:43:0
220,0:43:12
220,0:43:24
220,0:43:37
220,0:43:49
220,0:44:1
220,0:44:13
220,0:44:26
220,0:44:38
220,0:44:50
220,0:45:2
220,0:45:14
220,0:45:27
220,0:45:39
220,0:45:51
220,0:46:4
220,0:46:16
220,0:46:28
220,0:46:41
220,0:46:53
220,0:47:6
220,0:47:18
220,0:47:31
220,0:47:43
220,0:47:56
220,0:48:8
220,0:48:21
220,0:48:33
220,0:48:46
220,0:48:58
220,0:49:11
220,0:49:23
220,0:49:36
220,0:49:48
220,0:50:1
220,0:50:13
220,0:50:25
220,0:50:38
220,0:50:50
220,0:51:3
220,0:51:15
220,0:51:28
220,0:51:40
220,0:51:53
220,0:52:5
220,0:52:18
220,0:52:31
220,0:52:44
220,0:52:57
220,0:53:11
220,0:53:24
220,0:53:38
220,0:53:52
220,0:54:6
220,0:54:19
220,0:54:33
220,0:54:47
220,0:55:1
220,0:55:14
220,0:55:28
220,0:55:42
220,0:55:55
220,0:56:9
220,0:56:22
220,0:56:36
220,0:56:49
220,0:57:2
220,0:57:15
220,0:57:29
220,0:57:42
220,0:57:54
220,0:58:7
220,0:58:20
220,0:58:33
220,0:58:45
220,0:58:58
220,0:59:11
220,0:59:23
220,0:59:36
220,0:59:48
220,1:0:0
220,1:0:13
220,1:0:25
220,1:0:37
220,1:0:50
220,1:1:2
220,1:1:15
220,1:1:27
220,1:1:39
220,1:1:51
220,1:2:4
220,1:2:16
220,1:2:28
220,1:2:41
220,1:2:53
220,1:3:5
220,1:3:18
220,1:3:30
220,1:3:43
220,1:3:56
220,1:4:8
220,1:4:21
220,1:4:34
220,1:4:46
220,1:4:59
220,1:5:12
220,1:5:25
220,1:5:38
220,1:5:52
220,1:6:5
220,1:6:19
220,1:6:33
220,1:6:47
220,1:7:1
220,1:7:15
220,1:7:29
220,1:7:43
220,1:7:57
220,1:8:11
220,1:8:25
220,1:8:39
220,1:8:52
220,1:9:6
220,1:9:19
220,1:9:33
220,1:9:46
220,1:10:0
220,1:10:13
220,1:10:26
220,1:10:39
220,1:10:53
220,1:11:6
220,1:11:19
220,1:11:32
220,1:11:45
220,1:11:59
220,1:12:12
220,1:12:25
220,1:12:38
220,1:12:51
220,1:13:5
220,1:13:18
220,1:13:31
220,1:13:45
220,1:13:58
220,1:14:12
220,1:14:25
220,1:14:38
220,1:14:52
220,1:15:6
220,1:15:19
220,1:15:33
220,1:15:46
220,1:15:59
220,1:16:13
220,1:16:26
220,1:16:39
220,1:16:53
220,1:17:6
220,1:17:20
220,1:17:34
220,1:17:47
220,1:18:1
220,1:18:14
220,1:18:28
220,1:18:41
220,1:18:55
220,1:19:9
220,1:19:22
220,1:19:36
220,1:19:50
220,1:20:4
220,1:20:17
220,1:20:31
220,1:20:45
220,1:20:58
220,1:21:12
220,1:21:26
220,1:21:40
220,1:21:53
220,1:22:7
220,1:22:21
220,1:22:35
220,1:22:49
220,1:23:2
220,1:23:16
220,1:23:30
220,1:23:43
220,1:23:57
220,1:24:10
220,1:24:24
220,1:24:37
220,1:24:51
220,1:25:4
220,1:25:18
220,1:25:31
220,1:25:45
220,1:25:58
220,1:26:12
220,1:26:25
220,1:26:39
220,1:26:53
220,1:27:6
220,1:27:20
220,1:27:34
220,1:27:48
220,1:28:2
220,1:28:16
220,1:28:30
220,1:28:44
220,1:28:58
220,1:29:12
220,1:29:25
220,1:29:39
220,1:29:52
220,1:30:6
220,1:30:20
220,1:30:33
220,1:30:47
220,1:31:0
220,1:31:14
220,1:31:27
220,1:31:40
220,1:31:54
220,1:32:7
220,1:32:21
220,1:32:34
220,1:32:48
220,1:33:1
220,1:33:15
220,1:33:28
220,1:33:42
220,1:33:56
220,1:34:10
220,1:34:24
220,1:34:38
220,1:34:52
220,1:35:6
220,1:35:20
220,1:35:34
220,1:35:47
220,1:36:1
220,1:36:15
220,1:36:28
220,1:36:42
220,1:36:55
220,1:37:9
220,1:37:22
220,1:37:36
220,1:37:49
220,1:38:2
220,1:38:16
220,1:38:29
220,1:38:42
220,1:38:55
220,1:39:8
220,1:39:21
220,1:39:34
220,1:39:47
220,1:40:0
220,1:40:13
220,1:40:26
220,1:40:39
220,1:40:51
220,1:41:4
220,1:41:17
220,1:41:30
220,1:41:43
220,1:41:56
220,1:42:9
220,1:42:22
220,1:42:34
220,1:42:47
220,1:43:0
220,1:43:14
220,1:43:27
220,1:43:40
220,1:43:53
220,1:44:6
220,1:44:19
220,1:44:32
220,1:44:45
220,1:44:58
220,1:45:11
220,1:45:24
220,1:45:36
220,1:45:49
220,1:46:2
220,1:46:15
220,1:46:28
220,1:46:40
220,1:46:53
220,1:47:6
220,1:47:18
220,1:47:31
220,1:47:43
220,1:47:56
220,1:48:8
220,1:48:21
220,1:48:34
220,1:48:46
220,1:48:59
220,1:49:11
220,1:49:24
220,1:49:36
220,1:49:49
220,1:50:1
220,1:50:13
220,1:50:25
220,1:50:37
220,1:50:50
220,1:51:2
220,1:51:14
220,1:51:26
220,1:51:38
220,1:51:50
220,1:52:2
220,1:52:14
220,1:52:26
220,1:52:38
220,1:52:50
220,1:53:2
220,1:53:14
220,1:53:26
220,1:53:38
220,1:53:50
220,1:54:2
220,1:54:14
220,1:54:26
220,1:54:38
220,1:54:50
220,1:55:2
220,1:55:14
220,1:55:25
220,1:55:37
220,1:55:49
220,1:56:1
220,1:56:13
220,1:56:25
220,1:56:37
220,1:56:49
220,1:57:1
220,1:57:13
220,1:57:25
220,1:57:37
220,1:57:49
220,1:58:1
220,1:58:13
220,1:58:25
220,1:58:37
220,1:58:48
220,1:59:0
220,1:59:12
220,1:59:24
220,1:59:36
220,1:59:48
220,2:0:0
220,2:0:11
220,2:0:23
220,2:0:35
220,2:0:46
220,2:0:58
220,2:1:9
220,2:1:21
220,2:1:33
220,2:1:44
220,2:1:56
220,2:2:7
220,2:2:19
220,2:2:30
220,2:2:42
220,2:2:53
220,2:3:5
220,2:3:16
220,2:3:28
220,2:3:39
220,2:3:51
220,2:4:2
220,2:4:14
220,2:4:25
220,2:4:37
220,2:4:48
220,2:5:0
220,2:5:11
220,2:5:23
220,2:5:34
220,2:5:45
220,2:5:57
220,2:6:8
220,2:6:20
220,2:6:31
220,2:6:42
220,2:6:54
220,2:7:5
220,2:7:16
220,2:7:27
220,2:7:39
220,2:7:50
220,2:8:1
220,2:8:12
220,2:8:23
220,2:8:35
220,2:8:46
220,2:8:57
220,2:9:8
220,2:9:19
220,2:9:30
220,2:9:41
220,2:9:52
220,2:10:3
220,2:10:14
220,2:10:26
220,2:10:37
220,2:10:48
220,2:10:59
220,2:11:10
220,2:11:21
220,2:11:32
220,2:11:43
220,2:11:54
220,2:12:5
220,2:12:16
220,2:12:27
220,2:12:38
220,2:12:49
220,2:13:0
220,2:13:11
220,2:13:22
220,2:13:33
220,2:13:44
220,2:13:55
220,2:14:6
220,2:14:17
220,2:14:28
220,2:14:39
220,2:14:50
220,2:15:1
220,2:15:12
220,2:15:23
220,2:15:34
220,2:15:46
220,2:15:57
220,2:16:8
220,2:16:19
220,2:16:30
220,2:16:41
220,2:16:52
220,2:17:3
220,2:17:14
220,2:17:25
220,2:17:36
220,2:17:47
220,2:17:58
220,2:18:9
220,2:18:20
220,2:18:31
220,2:18:42
220,2:18:53
220,2:19:4
220,2:19:15
220,2:19:26
220,2:19:38
220,2:19:49
220,2:20:0
220,2:20:11
220,2:20:22
220,2:20:33
220,2:20:44
220,2:20:55
220,2:21:6
220,2:21:17
220,2:21:28
220,2:21:39
220,2:21:50
220,2:22:0
220,2:22:11
220,2:22:22
220,2:22:33
220,2:22:44
220,2:22:55
220,2:23:6
220,2:23:17
220,2:23:28
220,2:23:39
220,2:23:50
220,2:24:1
220,2:24:12
220,2:24:22
220,2:24:33
220,2:24:44
220,2:24:55
220,2:25:6
220,2:25:17
220,2:25:28
220,2:25:39
220,2:25:50
220,2:26:1
220,2:26:12
220,2:26:23
220,2:26:34
220,2:26:45
220,2:26:56
220,2:27:7
220,2:27:18
220,2:27:29
220,2:27:40
220,2:27:51
220,2:28:3
220,2:28:14
220,2:28:25
220,2:28:36
220,2:28:47
220,2:28:58
220,2:29:9
220,2:29:21
220,2:29:32
220,2:29:43
220,2:29:54
220,2:30:6
220,2:30:17
220,2:30:28
220,2:30:39
220,2:30:51
220,2:31:2
220,2:31:13
220,2:31:24
220,2:31:36
220,2:31:47
220,2:31:58
220,2:32:10
220,2:32:21
220,2:32:32
220,2:32:44
220,2:32:55
220,2:33:6
220,2:33:18
220,2:33:29
220,2:33:40
220,2:33:52
220,2:34:3
220,2:34:14
220,2:34:26
220,2:34:37
220,2:34:48
220,2:35:0
220,2:35:11
220,2:35:22
220,2:35:34
220,2:35:45
220,2:35:57
220,2:36:8
220,2:36:19
220,2:36:30
220,2:36:42
220,2:36:53
220,2:37:4
220,2:37:15
220,2:37:27
220,2:37:38
220,2:37:49
220,2:38:0
220,2:38:12
220,2:38:23
220,2:38:34
220,2:38:45
220,2:38:57
220,2:39:8
220,2:39:19
220,2:39:30
220,2:39:42
220,2:39:53
220,2:40:4
220,2:40:15
220,2:40:27
220,2:40:38
220,2:40:49
220,2:41:1
220,2:41:12
220,2:41:23
220,2:41:35
220,2:41:46
220,2:41:58
220,2:42:9
220,2:42:20
220,2:42:32
220,2:42:43
220,2:42:55
220,2:43:7
220,2:43:18
220,2:43:30
220,2:43:42
220,2:43:53
220,2:44:5
220,2:44:17
220,2:44:29
220,2:44:41
220,2:44:53
220,2:45:5
220,2:45:17
220,2:45:29
220,2:45:42
220,2:45:54
220,2:46:6
220,2:46:18
220,2:46:31
220,2:46:43
220,2:46:56
220,2:47:8
220,2:47:21
220,2:47:33
220,2:47:46
220,2:47:58
220,2:48:11
220,2:48:24
220,2:48:36
220,2:48:49
220,2:49:1
220,2:49:14
220,2:49:26
220,2:49:39
220,2:49:51
220,2:50:4
220,2:50:16
220,2:50:29
220,2:50:42
220,2:50:54
220,2:51:7
220,2:51:19
220,2:51:32
220,2:51:44
220,2:51:57
220,2:52:9
220,2:52:22
220,2:52:35
220,2:52:47
220,2:53:0
220,2:53:13
220,2:53:25
220,2:53:38
220,2:53:51
220,2:54:4
220,2:54:17
220,2:54:29
220,2:54:42
220,2:54:56
220,2:55:9
220,2:55:22
220,2:55:36
220,2:55:49
220,2:56:3
220,2:56:16
220,2:56:30
220,2:56:43
220,2:56:57
220,2:57:10
220,2:57:24
220,2:57:37
220,2:57:51
220,2:58:4
220,2:58:17
220,2:58:31
220,2:58:44
220,2:58:57
220,2:59:10
220,2:59:23
220,2:59:37
220,2:59:50
220,3:0:3
220,3:0:16
220,3:0:29
220,3:0:42
220,3:0:55
220,3:1:9
220,3:1:22
220,3:1:35
220,3:1:49
220,3:2:2
220,3:2:16
220,3:2:30
220,3:2:43
220,3:2:57
220,3:3:11
220,3:3:25
220,3:3:39
220,3:3:53
220,3:4:7
220,3:4:22
220,3:4:36
220,3:4:50
220,3:5:4
220,3:5:18
220,3:5:32
220,3:5:46
220,3:6:0
220,3:6:14
220,3:6:28
220,3:6:42
220,3:6:56
220,3:7:10
220,3:7:24
220,3:7:38
220,3:7:52
220,3:8:6
220,3:8:20
220,3:8:34
220,3:8:48
220,3:9:2
220,3:9:15
220,3:9:29
220,3:9:44
220,3:9:58
220,3:10:12
220,3:10:27
220,3:10:41
220,3:10:56
220,3:11:11
220,3:11:25
220,3:11:40
220,3:11:55
220,3:12:9
220,3:12:24
220,3:12:38
220,3:12:53
220,3:13:8
220,3:13:23
220,3:13:37
220,3:13:52
220,3:14:7
220,3:14:22
220,3:14:36
220,3:14:51
220,3:15:6
220,3:15:21
220,3:15:35
220,3:15:50
220,3:16:4
220,3:16:18
220,3:16:32
220,3:16:46
220,3:17:0
220,3:17:14
220,3:17:27
220,3:17:41
220,3:17:54
220,3:18:8
220,3:18:21
220,3:18:35
220,3:18:48
220,3:19:2
220,3:19:15
220,3:19:29
220,3:19:42
220,3:19:56
220,3:20:10
220,3:20:24
220,3:20:38
220,3:20:52
220,3:21:6
220,3:21:21
220,3:21:35
220,3:21:50
220,3:22:4
220,3:22:19
220,3:22:33
220,3:22:48
220,3:23:3
220,3:23:18
220,3:23:33
220,3:23:47
220,3:24:2
220,3:24:17
220,3:24:31
220,3:24:46
220,3:25:0
220,3:25:15
220,3:25:29
220,3:25:44
220,3:25:58
220,3:26:13
220,3:26:27
220,3:26:42
220,3:26:56
220,3:27:11
220,3:27:25
220,3:27:40
220,3:27:55
220,3:28:10
220,3:28:25
220,3:28:40
220,3:28:55
220,3:29:10
220,3:29:24
220,3:29:39
220,3:29:54
220,3:30:9
220,3:30:23
220,3:30:38
220,3:30:53
220,3:31:7
220,3:31:22
220,3:31:37
220,3:31:51
220,3:32:6
220,3:32:21
220,3:32:35
220,3:32:50
220,3:33:5
220,3:33:19
220,3:33:34
220,3:33:48
220,3:34:2
220,3:34:16
220,3:34:30
220,3:34:44
220,3:34:58
220,3:35:12
220,3:35:26
220,3:35:40
220,3:35:54
220,3:36:8
220,3:36:22
220,3:36:36
220,3:36:50
220,3:37:4
220,3:37:19
220,3:37:33
220,3:37:47
220,3:38:2
220,3:38:16
220,3:38:30
220,3:38:44
220,3:38:59
220,3:39:13
220,3:39:27
220,3:39:41
220,3:39:56
220,3:40:10
220,3:40:24
220,3:40:38
220,3:40:52
220,3:41:5
220,3:41:19
220,3:41:33
220,3:41:46
220,3:42:0
220,3:42:13
220,3:42:27
220,3:42:40
220,3:42:54
220,3:43:7
220,3:43:21
220,3:43:35
220,3:43:48
220,3:44:1
220,3:44:15
220,3:44:28
220,3:44:41
220,3:44:55
220,3:45:9
220,3:45:22
220,3:45:36
220,3:45:49
220,3:46:2
220,3:46:16
220,3:46:29
220,3:46:42
220,3:46:55
220,3:47:8
220,3:47:21
220,3:47:34
220,3:47:47
220,3:48:1
220,3:48:14
220,3:48:27
220,3:48:40
220,3:48:53
220,3:49:6
220,3:49:20
220,3:49:33
220,3:49:46
220,3:49:59
220,3:50:13
220,3:50:26
220,3:50:39
220,3:50:52
220,3:51:5
220,3:51:18
220,3:51:31
220,3:51:44
220,3:51:57
220,3:52:10
220,3:52:23
220,3:52:35
220,3:52:48
220,3:53:0
220,3:53:13
220,3:53:25
220,3:53:38
220,3:53:50
220,3:54:2
220,3:54:14
220,3:54:27
220,3:54:39
220,3:54:51
220,3:55:3
220,3:55:15
220,3:55:27
220,3:55:39
220,3:55:51
220,3:56:3
220,3:56:15
220,3:56:27
220,3:56:39
220,3:56:51
220,3:57:3
220,3:57:15
220,3:57:27
220,3:57:38
220,3:57:50
220,3:58:2
220,3:58:14
220,3:58:25
220,3:58:37
220,3:58:49
220,3:59:0
220,3:59:12
220,3:59:23
220,3:59:35
220,3:59:47
220,3:59:58
220,4:0:10
220,4:0:21
220,4:0:33
220,4:0:45
220,4:0:56
220,4:1:8
220,4:1:19
220,4:1:31
220,4:1:42
220,4:1:54
220,4:2:5
220,4:2:16
220,4:2:28
220,4:2:39
220,4:2:50
220,4:3:2
220,4:3:13
220,4:3:24
220,4:3:36
220,4:3:47
220,4:3:58
220,4:4:9
220,4:4:20
220,4:4:31
220,4:4:42
220,4:4:53
220,4:5:4
220,4:5:15
220,4:5:26
220,4:5:37
220,4:5:48
220,4:5:59
220,4:6:10
220,4:6:21
220,4:6:32
220,4:6:42
220,4:6:53
220,4:7:4
220,4:7:14
220,4:7:25
220,4:7:36
220,4:7:46
220,4:7:57
220,4:8:8
220,4:8:18
220,4:8:29
220,4:8:39
