Ошибка прогнозирования,Время
0,0:0:0
0,0:0:18
0,0:0:36
0,0:0:55
0,0:1:13
0,0:1:31
0,0:1:49
0,0:2:8
0,0:2:26
0,0:2:44
0,0:3:2
0,0:3:20
0,0:3:38
0,0:3:56
0,0:4:14
0,0:4:32
0,0:4:50
0,0:5:8
0,0:5:26
0,0:5:44
0,0:6:3
0,0:6:21
0,0:6:39
0,0:6:57
0,0:7:15
0,0:7:33
0,0:7:51
0,0:8:9
0,0:8:28
0,0:8:46
0,0:9:4
0,0:9:22
0,0:9:40
0,0:9:58
0,0:10:16
0,0:10:34
0,0:10:52
0,0:11:11
0,0:11:29
0,0:11:47
0,0:12:5
0,0:12:23
0,0:12:41
0,0:12:59
0,0:13:17
0,0:13:36
0,0:13:54
0,0:14:12
0,0:14:30
0,0:14:48
0,0:15:7
0,0:15:25
0,0:15:44
0,0:16:3
0,0:16:22
0,0:16:41
0,0:17:0
0,0:17:19
0,0:17:39
0,0:17:58
0,0:18:18
0,0:18:37
0,0:18:57
0,0:19:16
0,0:19:35
0,0:19:55
0,0:20:14
0,0:20:33
0,0:20:52
0,0:21:11
0,0:21:30
0,0:21:48
0,0:22:7
0,0:22:26
0,0:22:45
0,0:23:3
0,0:23:22
0,0:23:40
0,0:23:59
0,0:24:17
0,0:24:36
0,0:24:55
0,0:25:14
0,0:25:33
0,0:25:51
0,0:26:10
0,0:26:30
0,0:26:49
0,0:27:10
0,0:27:30
0,0:27:50
0,0:28:11
0,0:28:31
0,0:28:52
0,0:29:12
0,0:29:32
0,0:29:53
0,0:30:13
0,0:30:33
0,0:30:54
0,0:31:15
0,0:31:35
0,0:31:56
0,0:32:17
0,0:32:37
0,0:32:58
0,0:33:19
0,0:33:40
0,0:34:1
0,0:34:22
0,0:34:42
0,0:35:3
0,0:35:24
0,0:35:45
0,0:36:5
0,0:36:26
0,0:36:47
0,0:37:8
0,0:37:29
0,0:37:51
0,0:38:13
0,0:38:36
0,0:38:59
0,0:39:22
0,0:39:45
0,0:40:8
0,0:40:31
0,0:40:53
0,0:41:16
0,0:41:38
0,0:42:0
0,0:42:22
0,0:42:44
0,0:43:6
0,0:43:27
0,0:43:48
0,0:44:9
0,0:44:30
0,0:44:51
0,0:45:11
0,0:45:32
0,0:45:53
0,0:46:13
0,0:46:34
0,0:46:54
0,0:47:14
0,0:47:35
0,0:47:56
0,0:48:16
0,0:48:37
0,0:48:58
0,0:49:19
0,0:49:40
0,0:50:2
0,0:50:23
0,0:50:45
0,0:51:8
0,0:51:31
0,0:51:54
0,0:52:17
0,0:52:41
0,0:53:4
0,0:53:27
0,0:53:50
