Содержание серы,Время транспортного запаздывания
220,0:30:22
220,0:30:18
220,0:30:13
220,0:30:9
220,0:30:8
220,0:30:8
220,0:30:8
220,0:30:6
220,0:30:1
220,0:29:57
220,0:29:53
220,0:29:49
220,0:29:44
220,0:29:40
220,0:29:39
220,0:29:39
220,0:29:39
220,0:29:41
220,0:29:46
220,0:29:50
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:53
220,0:29:59
220,0:30:8
220,0:30:17
220,0:30:29
220,0:30:48
220,0:31:7
220,0:31:25
220,0:31:35
220,0:31:45
220,0:31:55
220,0:32:1
220,0:32:6
220,0:32:11
220,0:32:6
220,0:32:1
220,0:31:56
220,0:31:51
220,0:31:45
220,0:31:40
220,0:31:31
220,0:31:21
220,0:31:12
220,0:31:5
220,0:31:0
220,0:30:55
220,0:30:50
220,0:30:46
220,0:30:41
220,0:30:37
220,0:30:37
220,0:30:37
220,0:30:37
220,0:30:46
220,0:30:56
220,0:31:5
220,0:31:11
220,0:31:16
220,0:31:21
220,0:31:46
220,0:32:29
220,0:33:14
220,0:33:38
220,0:33:38
220,0:33:38
220,0:33:38
220,0:33:38
220,0:33:38
220,0:33:38
220,0:33:38
220,0:33:38
220,0:33:42
220,0:33:48
220,0:33:54
220,0:34:1
220,0:34:7
220,0:34:13
220,0:34:20
220,0:34:26
220,0:34:33
220,0:34:27
220,0:34:20
220,0:34:14
220,0:34:14
220,0:34:14
220,0:34:14
220,0:34:14
220,0:34:14
220,0:34:16
220,0:34:23
220,0:34:29
220,0:34:55
220,0:35:51
220,0:36:52
220,0:37:28
220,0:37:45
220,0:38:2
220,0:37:54
220,0:37:45
220,0:37:37
220,0:37:28
220,0:37:20
220,0:37:0
220,0:36:35
220,0:36:12
220,0:35:49
220,0:35:27
220,0:35:8
220,0:34:54
220,0:34:41
220,0:34:27
220,0:34:14
220,0:34:1
220,0:33:56
220,0:33:56
220,0:33:56
220,0:33:52
220,0:33:46
220,0:33:39
220,0:33:47
220,0:33:59
220,0:34:12
220,0:34:25
220,0:34:38
220,0:34:52
220,0:34:59
220,0:35:6
220,0:35:18
220,0:36:16
220,0:37:19
220,0:38:6
220,0:38:15
220,0:38:24
220,0:38:26
220,0:38:26
220,0:38:21
220,0:37:54
220,0:37:28
220,0:37:8
220,0:36:51
220,0:36:35
220,0:36:27
220,0:36:19
220,0:36:13
220,0:36:13
220,0:36:13
220,0:36:17
220,0:36:24
220,0:36:32
220,0:36:40
220,0:36:48
220,0:36:56
220,0:37:4
220,0:37:12
220,0:37:11
220,0:36:55
220,0:36:39
220,0:36:45
220,0:37:1
220,0:37:18
220,0:37:18
220,0:37:18
220,0:37:21
220,0:37:29
220,0:37:37
220,0:37:40
220,0:37:40
220,0:37:40
220,0:37:40
220,0:37:40
220,0:37:44
220,0:37:53
220,0:38:1
220,0:37:55
220,0:37:47
220,0:37:38
220,0:37:29
220,0:37:21
220,0:37:13
220,0:37:4
220,0:36:56
220,0:37:3
220,0:37:11
220,0:37:20
220,0:37:28
220,0:37:37
220,0:37:56
220,0:38:23
220,0:38:49
220,0:38:22
220,0:37:55
220,0:37:36
220,0:37:28
220,0:37:19
220,0:37:11
220,0:37:3
220,0:36:56
220,0:36:56
220,0:36:56
220,0:36:59
220,0:37:8
220,0:37:16
220,0:37:31
220,0:37:48
220,0:38:5
220,0:38:23
220,0:38:42
220,0:38:29
220,0:37:53
220,0:37:18
220,0:37:18
220,0:37:18
220,0:37:9
220,0:36:45
220,0:36:21
220,0:36:8
220,0:36:0
220,0:35:53
220,0:35:46
220,0:35:38
220,0:35:31
220,0:35:24
220,0:35:17
220,0:35:14
220,0:35:22
220,0:35:29
220,0:35:36
220,0:35:43
220,0:35:51
220,0:35:52
220,0:35:52
220,0:35:52
220,0:35:45
220,0:35:37
220,0:35:30
220,0:35:23
220,0:35:16
220,0:35:6
220,0:34:52
220,0:34:38
220,0:34:33
220,0:34:33
220,0:34:33
220,0:34:33
220,0:34:33
220,0:34:33
220,0:34:16
220,0:33:56
220,0:33:38
220,0:33:32
220,0:33:26
220,0:33:20
220,0:33:14
220,0:33:8
220,0:33:2
220,0:32:56
220,0:32:50
220,0:32:45
220,0:32:51
220,0:32:57
220,0:33:2
220,0:32:56
220,0:32:50
220,0:32:45
220,0:32:45
220,0:32:45
220,0:32:45
220,0:32:51
220,0:32:57
220,0:33:2
220,0:32:56
220,0:32:51
220,0:32:45
220,0:32:45
220,0:32:45
220,0:32:45
220,0:32:34
220,0:32:23
220,0:32:12
220,0:32:6
220,0:32:1
220,0:31:56
220,0:31:51
220,0:31:45
220,0:31:40
220,0:31:39
220,0:31:39
220,0:31:39
220,0:31:39
220,0:31:39
220,0:31:39
220,0:31:36
220,0:31:31
220,0:31:26
220,0:31:23
220,0:31:23
220,0:31:23
220,0:31:21
220,0:31:11
220,0:31:2
220,0:30:52
220,0:30:52
220,0:30:52
220,0:30:52
220,0:30:44
220,0:30:35
220,0:30:26
220,0:30:25
220,0:30:30
220,0:30:34
220,0:30:36
220,0:30:31
220,0:30:26
220,0:30:22
220,0:30:22
220,0:30:22
220,0:30:22
220,0:30:19
220,0:30:14
220,0:30:10
220,0:30:10
220,0:30:15
220,0:30:19
220,0:30:22
220,0:30:22
220,0:30:22
220,0:30:22
220,0:30:22
220,0:30:22
220,0:30:22
220,0:30:22
220,0:30:22
220,0:30:22
220,0:30:22
220,0:30:22
220,0:30:22
220,0:30:22
220,0:30:22
220,0:30:22
220,0:30:22
220,0:30:22
220,0:30:22
220,0:30:22
220,0:30:19
220,0:30:14
220,0:30:10
220,0:30:8
220,0:30:8
220,0:30:8
220,0:30:7
220,0:30:3
220,0:29:58
220,0:29:54
220,0:29:57
220,0:30:2
220,0:30:6
220,0:30:8
220,0:30:8
220,0:30:8
220,0:30:8
220,0:30:8
220,0:30:8
220,0:30:8
220,0:30:12
220,0:30:17
220,0:30:21
220,0:30:26
220,0:30:30
220,0:30:35
220,0:30:37
220,0:30:37
220,0:30:37
220,0:30:40
220,0:30:49
220,0:30:59
220,0:31:7
220,0:31:2
220,0:30:58
220,0:30:53
220,0:30:56
220,0:31:1
220,0:31:6
220,0:31:8
220,0:31:8
220,0:31:8
220,0:31:8
220,0:31:8
220,0:31:8
220,0:31:9
220,0:31:14
220,0:31:19
220,0:31:22
220,0:31:17
220,0:31:13
220,0:31:8
220,0:31:3
220,0:30:58
220,0:30:53
220,0:30:52
220,0:30:52
220,0:30:52
220,0:30:52
220,0:30:52
220,0:30:52
220,0:30:54
220,0:30:59
220,0:31:4
220,0:31:8
220,0:31:8
220,0:31:8
220,0:31:8
220,0:31:13
220,0:31:17
220,0:31:22
220,0:31:32
220,0:31:42
220,0:31:52
220,0:32:3
220,0:32:13
220,0:32:24
220,0:31:59
220,0:31:55
220,0:31:51
220,0:31:43
220,0:31:34
220,0:31:24
220,0:31:11
220,0:30:55
220,0:30:39
220,0:30:28
220,0:30:18
220,0:30:8
220,0:29:38
220,0:29:5
220,0:28:32
209.331,0:34:7
220,0:33:31
220,0:33:15
220,0:32:53
220,0:32:32
220,0:32:10
220,0:31:48
220,0:31:27
220,0:31:7
220,0:30:51
220,0:30:36
220,0:30:20
220,0:30:4
220,0:29:48
220,0:29:42
198.913,0:35:27
220,0:35:12
220,0:35:8
220,0:35:0
220,0:34:53
220,0:34:29
220,0:34:6
220,0:33:38
220,0:33:0
220,0:32:23
220,0:31:51
220,0:31:21
220,0:30:52
220,0:30:24
188.699,0:35:16
220,0:34:25
220,0:34:17
220,0:34:9
220,0:34:1
220,0:33:53
220,0:33:45
220,0:33:40
220,0:33:39
220,0:33:39
220,0:33:26
220,0:33:10
220,0:32:52
220,0:32:21
220,0:31:51
219.588,0:31:25
218.929,0:31:2
218.264,0:30:39
217.593,0:30:23
217.593,0:30:7
216.919,0:29:48
216.24,0:29:18
214.872,0:28:48
214.185,0:28:19
213.497,0:27:50
212.804,0:27:21
212.804,0:27:23
212.108,0:27:26
212.108,0:27:25
211.408,0:27:15
210.711,0:27:6
210.019,0:26:39
209.331,0:26:9
208.642,0:25:42
207.951,0:25:25
207.258,0:25:7
206.565,0:24:45
205.873,0:24:21
205.181,0:23:59
205.181,0:23:41
204.49,0:23:23
203.107,0:22:38
201.718,0:21:46
201.021,0:20:59
199.62,0:20:22
198.913,0:19:45
197.471,0:19:12
196.739,0:18:41
196.003,0:18:11
195.261,0:17:52
194.519,0:17:34
193.778,0:17:16
193.039,0:16:57
192.305,0:16:39
192.305,0:16:27
192.305,0:16:23
191.577,0:16:20
191.577,0:16:5
190.854,0:15:45
190.133,0:15:26
189.414,0:15:11
189.414,0:14:54
188.699,0:14:28
187.276,0:13:56
186.562,0:13:26
185.843,0:13:3
185.119,0:12:39
184.391,0:12:13
183.657,0:11:47
182.917,0:11:21
182.17,0:11:0
181.414,0:10:40
180.655,0:10:22
180.655,0:10:6
180,0:9:50
180,0:9:19
180,0:8:50
180,0:8:24
180,0:8:0
180,0:7:37
180,0:7:13
180,0:6:49
180,0:6:24
180,0:5:58
180,0:5:33
180,0:5:11
180,0:4:49
180,0:4:22
180,0:3:53
180,0:3:25
180,0:3:2
180,0:2:40
180,0:2:17
180,0:1:54
180,0:1:32
180,0:1:9
180,0:0:47
180,0:0:25
180,0:0:1
180,0:0:0
198.825,0:28:58
185.113,0:28:23
185.4,0:28:10
185.687,0:27:57
185.975,0:27:43
186.262,0:27:26
186.55,0:27:9
186.837,0:26:52
187.125,0:26:35
187.413,0:26:18
187.7,0:26:1
187.986,0:25:44
188.272,0:25:26
188.559,0:25:9
188.846,0:24:52
189.135,0:24:35
189.423,0:24:18
189.712,0:24:0
190.001,0:23:43
190.29,0:23:26
190.581,0:23:9
190.874,0:22:51
191.169,0:22:31
191.465,0:22:10
191.759,0:21:50
192.052,0:21:30
192.344,0:21:9
192.637,0:20:48
192.93,0:20:31
193.225,0:20:19
193.519,0:20:7
193.519,0:19:54
193.814,0:19:37
194.109,0:19:19
194.404,0:19:1
194.699,0:18:45
194.995,0:18:30
195.29,0:18:14
195.586,0:17:59
195.881,0:17:44
196.177,0:17:28
196.472,0:17:12
196.767,0:16:55
197.061,0:16:37
197.355,0:16:18
197.649,0:15:59
197.943,0:15:39
198.238,0:15:18
198.531,0:14:58
198.825,0:14:38
199.117,0:14:18
199.41,0:13:58
199.998,0:13:38
200.293,0:13:19
200.588,0:12:59
200.883,0:12:41
201.178,0:12:23
201.474,0:12:5
201.769,0:11:48
202.065,0:11:30
202.361,0:11:12
202.657,0:10:55
202.953,0:10:37
203.249,0:10:19
203.545,0:10:1
203.841,0:9:45
204.138,0:9:30
204.138,0:9:15
204.434,0:8:59
204.731,0:8:42
205,0:8:26
205,0:8:9
205,0:7:51
205,0:7:33
205,0:7:15
205,0:6:57
205,0:6:40
205,0:6:23
205,0:6:5
205,0:5:44
205,0:5:24
205,0:5:3
205,0:4:45
205,0:4:27
205,0:4:9
205,0:3:51
205,0:3:33
205,0:3:15
205,0:2:57
205,0:2:39
205,0:2:21
205,0:2:4
205,0:1:46
205,0:1:28
205,0:1:10
205,0:0:53
205,0:0:35
205,0:0:18
205,0:0:0
205,0:0:0
188.806,0:26:23
205,0:25:53
205,0:25:38
205,0:25:24
205,0:25:8
205,0:24:51
205,0:24:34
205,0:24:17
205,0:24:5
205,0:23:53
205,0:23:42
205,0:23:29
205,0:23:6
205,0:22:43
204.606,0:22:21
204.051,0:22:3
203.498,0:21:52
202.946,0:21:40
202.396,0:21:28
178.64,0:26:34
201.293,0:26:1
200.74,0:25:44
200.188,0:25:27
199.635,0:25:10
199.083,0:24:52
198.532,0:24:35
197.982,0:24:17
197.433,0:23:56
196.34,0:23:34
195.794,0:23:13
195.249,0:22:54
194.704,0:22:38
194.161,0:22:23
193.622,0:22:7
193.086,0:21:51
192.554,0:21:35
192.02,0:21:19
191.486,0:21:4
190.949,0:20:46
190.411,0:20:28
189.875,0:20:10
189.34,0:19:52
188.806,0:19:34
187.739,0:19:16
187.205,0:18:58
186.67,0:18:41
186.135,0:18:28
185.6,0:18:14
185.6,0:18:1
185.066,0:17:45
184.532,0:17:28
183.46,0:17:10
182.921,0:16:53
182.381,0:16:36
181.844,0:16:21
181.309,0:16:5
180.777,0:15:49
180.245,0:15:33
179.712,0:15:15
179.177,0:14:58
178.64,0:14:41
178.103,0:14:27
177.566,0:14:13
177.03,0:13:59
176.494,0:13:45
175.959,0:13:28
175.424,0:13:11
175,0:12:54
175,0:12:37
175,0:12:22
175,0:12:6
175,0:11:51
175,0:11:36
175,0:11:24
175,0:11:13
175,0:11:1
175,0:10:48
175,0:10:33
175,0:10:18
175,0:10:4
175,0:9:47
175,0:9:29
175,0:9:11
175,0:8:53
175,0:8:35
175,0:8:18
